epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4129,1.52105,2.57585,1.55141,0.2864,0.53802,0.40028,0.22521,1.51403,2.34462,1.62675,0.000553601,0.000553601,0.000553601
2,156.151,1.60092,2.01383,1.68542,0.53672,0.49977,0.51867,0.27158,1.65215,1.67599,1.79023,0.0010873,0.0010873,0.0010873
3,235.756,1.63544,2.2203,1.70953,0.09404,0.52189,0.05371,0.02324,1.94806,164.189,2.09788,0.001599,0.001599,0.001599
4,315.114,1.66222,1.97786,1.71453,0.31788,0.30494,0.34001,0.18465,1.64608,2.3648,1.92605,0.00156798,0.00156798,0.00156798
5,395.249,1.59378,1.82054,1.63206,0.50916,0.53404,0.5182,0.29036,1.62164,1.68019,1.77872,0.00153497,0.00153497,0.00153497
6,476.014,1.55558,1.68514,1.63692,0.53756,0.5206,0.50864,0.28405,1.59053,1.60091,1.67846,0.00150197,0.00150197,0.00150197
7,557.245,1.56022,1.72262,1.64937,0.54001,0.58195,0.56227,0.30735,1.49926,1.61017,1.58256,0.00146896,0.00146896,0.00146896
8,638.54,1.52401,1.61532,1.62693,0.54147,0.61608,0.57555,0.32366,1.53877,1.46754,1.68683,0.00143595,0.00143595,0.00143595
9,720.071,1.53238,1.41919,1.61094,0.50906,0.5776,0.55696,0.3153,1.55654,1.48068,1.67605,0.00140295,0.00140295,0.00140295
10,1138.43,1.4967,1.48642,1.60449,0.61126,0.62706,0.61625,0.34755,1.43312,1.26147,1.59718,0.00136994,0.00136994,0.00136994
11,1213.29,1.42807,1.26368,1.54552,0.58781,0.64057,0.62066,0.33492,1.50734,1.31657,1.65594,0.00133693,0.00133693,0.00133693
12,1289.86,1.47384,1.33986,1.59372,0.62836,0.59198,0.623,0.36306,1.43605,1.30367,1.6272,0.00130393,0.00130393,0.00130393
13,1368.16,1.43059,1.26914,1.54584,0.60061,0.65867,0.66139,0.35529,1.52154,1.25264,1.68667,0.00127092,0.00127092,0.00127092
14,1447.43,1.45841,1.32932,1.58688,0.60619,0.65313,0.6133,0.35979,1.41383,1.30924,1.58655,0.00123791,0.00123791,0.00123791
15,1526.83,1.38601,1.22115,1.5245,0.54533,0.71052,0.63529,0.37131,1.41618,1.19206,1.60591,0.00120491,0.00120491,0.00120491
16,1606.95,1.34612,1.16475,1.48316,0.62017,0.72062,0.68797,0.39404,1.43656,1.12036,1.60711,0.0011719,0.0011719,0.0011719
17,1687.51,1.36596,1.25191,1.50459,0.52931,0.69501,0.63715,0.36393,1.38163,1.27576,1.59986,0.00113889,0.00113889,0.00113889
18,1767.52,1.34539,1.14687,1.49142,0.52595,0.75341,0.64038,0.37855,1.39447,1.15855,1.56926,0.00110589,0.00110589,0.00110589
19,1847.54,1.31888,1.14663,1.48962,0.6676,0.66556,0.66118,0.40656,1.38597,1.14654,1.59759,0.00107288,0.00107288,0.00107288
20,1927.91,1.30211,1.05556,1.45668,0.61813,0.70449,0.68426,0.4039,1.4279,1.12277,1.6241,0.00103987,0.00103987,0.00103987
21,2008.05,1.34328,1.12336,1.50493,0.6437,0.64597,0.65408,0.39342,1.44133,1.16987,1.60238,0.00100687,0.00100687,0.00100687
22,2088.31,1.33669,1.15307,1.48839,0.59561,0.7374,0.7152,0.41676,1.39572,1.06262,1.5875,0.000973861,0.000973861,0.000973861
23,2168.76,1.32953,1.05365,1.4746,0.62772,0.68346,0.68702,0.41711,1.37271,1.0766,1.56003,0.000940855,0.000940855,0.000940855
24,2248.94,1.25471,0.99482,1.41829,0.64019,0.70184,0.67224,0.40592,1.3689,1.06383,1.56419,0.000907848,0.000907848,0.000907848
